cell,tier,n,avg_net_delta,pct_of_all_trades
neut_lo,high_confidence,8444,0.0,28.472198806352633
neut_hi,high_confidence,3926,0.1,13.238021377752302
bull_lo,high_confidence,3457,0.25000000000000006,11.656607209090602
neut_lo,low_confidence,2327,0.0,7.846376909330006
neut_lo,moderate_confidence,1882,0.0,6.345887985972958
bull_hi,high_confidence,1722,0.3,5.8063863506086255
neut_hi,low_confidence,1610,0.0,5.4287352058535925
bull_lo,low_confidence,1032,0.0,3.479785548099943
neut_hi,moderate_confidence,1011,0.0,3.408975958458374
bear_hi,high_confidence,843,-0.15,2.842499241325825
bear_lo,high_confidence,736,-0.25000000000000006,2.481707522675928
bull_lo,moderate_confidence,734,0.25000000000000006,2.474963752233874
bull_hi,low_confidence,702,0.0,2.3670634251610077
bull_hi,moderate_confidence,499,0.15,1.682570725292511
bear_hi,low_confidence,309,0.0,1.0419125332973667
bear_hi,moderate_confidence,169,-0.15,0.5698486023535759
bear_lo,low_confidence,152,0.0,0.5125265535961155
bear_lo,moderate_confidence,102,-0.25000000000000006,0.34393229254476176
